,urn,dhlabid,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
15,URN:NBN:no-nb_digibok_2016031029001,100492545.0,"Biblia , Paa Danske : Det er , Den gandske hellige Skriftis Bøgger , Paa ny igiennemseete , med flid , efter den Ebræiske oc Grækiske Text , det næste mueligt var , Oc forbedrede med ny Summarier , fuldkommeligere Concordantzer , oc korte antegnelser udi Bredden , anlangendis de mørcke Ord oc maader ad tale med. 3 : Den Tredie Part Af det Gamle Testamentis Bøgger",,oai:nb.bibsys.no:990509527734702202,475d5c63d3569b90298cf9630adf700e,,Prentede i Kiøbinghafn,16470101.0,1647.0,[ved Melchior Martzan oc Melchior Winckler],dan,,,,Faglitteratur,digibok,nb,20060101.0
16,URN:NBN:no-nb_digibok_2016040729001,100492584.0,"Biblia , Paa Danske : Det er , Den gandske hellige Skriftis Bøgger , Paa ny igiennemseete , med flid , efter den Ebræiske oc Grækiske Text , det næste mueligt var , Oc forbedrede med ny Summarier , fuldkommeligere Concordantzer , oc korte antegnelser udi Bredden , anlangendis de mørcke Ord oc maader ad tale med. 1 : Den første Part Af det Gamle Testamentis Bøgger",,oai:nb.bibsys.no:990509526924702202,d008c059867f15395ae6cdd53a2d3ba9,,Prentede i Kiøbinghafn,16470101.0,1647.0,[ved Melchior Martzan oc Melchior Winckler],dan,,,,Faglitteratur,digibok,nb,20060101.0
17,URN:NBN:no-nb_digibok_2016040729002,100492585.0,"Biblia , Paa Danske : Det er , Den gandske hellige Skriftis Bøgger , Paa ny igiennemseete , med flid , efter den Ebræiske oc Grækiske Text , det næste mueligt var , Oc forbedrede med ny Summarier , fuldkommeligere Concordantzer , oc korte antegnelser udi Bredden , anlangendis de mørcke Ord oc maader ad tale med. 2 : Den Anden Part Af det gamle Testamentis Bøgger",,oai:nb.bibsys.no:990509529004702202,ef5b5cb168876e2a5ed7ebdcd7b9a7a3,,Prentede i Kiøbinghafn,16470101.0,1647.0,[ved Melchior Martzan oc Melchior Winckler],dan,,,,Faglitteratur,digibok,nb,20060101.0
18,URN:NBN:no-nb_digibok_2010110206027,100520866.0,Evangilja : eller Fagnad-bodi etter Mattæus,"Seippel , Alexander",oai:nb.bibsys.no:999503234204702202,b0eb3c478187449d23db3b4c6785f915,,Kristiania,19150101.0,1915.0,Det norske bibel-sellskape,nno / grc,bibelen / nt / matteus / evangelium / nynorsk,,,Uklassifisert,digibok,nb,20060101.0
19,URN:NBN:no-nb_digibok_2011052608017,100540180.0,Det nye testamentet,,oai:nb.bibsys.no:990518574994702202,705f42a4ce6850c2d419189cc60e0b8a,8254106363 / 8254106568 / 8254106398,Oslo,20050101.0,2005.0,Det norske bibelselskap,nno,bibelen / nt / norsk / nynorsk,225.53982,,Faglitteratur,digibok,nb,20060101.0
20,URN:NBN:no-nb_digibok_2011053008068,100552275.0,"NTR - Det nye testamente revidert . [ 5 ] : Apostlenes gjerninger , Første timoteusbrev , Andre timoteusbrev , Brevet til Titus , Brevet til Filemon , Hebreerbrevet , Jakobs brev , Første petersbrev , Andre petersbrev , Judas ' brev",,oai:nb.bibsys.no:990509654504702202,0b9307c770d9f8478b9df310f4be3534,8254106150,[Oslo],20050101.0,2005.0,Det norske bibelselskap,nob,nye / testamente / apostlenes / gjerninger,225.53982,,Faglitteratur,digibok,nb,20060101.0
21,URN:NBN:no-nb_digibok_2022030107531,100582412.0,Bibelen : Den hellige skrift : Det gamle og Det nye testamente,,oai:nb.bibsys.no:998740291204702202,0ebc73c9a809d3bcf8ee240841398db6,8254102309 / 8254102015 / 8254103224 / 8254103259 / 8254103240,Oslo,1985.0,1985.0,Det norske bibelselskap,nob,Bible / Christianity / religion / bibelen / oversettelser / norsk / ps / nt / gt / kristendommen,220.53982 / 220,,Faglitteratur,digibok,nb,20060101.0
22,URN:NBN:no-nb_digibok_2021041548624,100588397.0,"Bibelen , eller den Hellige Skrift : indeholdende Det gamle og nye Testaments kanoniske Bøger , tilligemed Det gamle Testamentes apokryfiske Bøger",,oai:nb.bibsys.no:999920085704602202,324d3760de4bd3f3c419c50493fae705,,Kristiania,1908.0,1908.0,,nob,,,,Uklassifisert,digibok,nb,20060101.0
23,URN:NBN:no-nb_digibok_2022011028001,100596484.0,"Biblia : Det er , Den gantske Hellige Scrifft , paa Danske","Dietrich , Veit / Luther , Martin",oai:nb.bibsys.no:999513447904702202,abbd4c82ad550570534027fe412e16cd,,Prentet i Kiøbenhaffn,1589.0,1589.0,Aff Matz Vingaardt,dan,dansk,,,Uklassifisert,digibok,nb,20060101.0
24,URN:NBN:no-nb_digibok_2022011928001,100606092.0,Biblia : Det er Den gantske Hellige Scrifft paa Danske,"Luther , Martin / Dietrich , Veit / Martzan , Melchior / Sartor , Salomon",oai:nb.bibsys.no:999513456484702202,3263f2f7f80202586bc747f1a7738ced,,,1633.0,1633.0,Prentet ved Melchior Martzan,dan,Kristendom / Teologi / Christian IVs bibel,,,Faglitteratur,digibok,nb,20060101.0
25,URN:NBN:no-nb_digibok_2022030107535,100609051.0,Bibelen : det Gamle og det Nye testamentet : [ nynorsk ],,oai:nb.bibsys.no:998020899764702202,d9e367f5d41338be35ee46b37302dd09,8254100241,[Oslo],1978.0,1978.0,Det Norske bibelselskap,nno,bibelen / nynorsk,220.5,,Faglitteratur,digibok,nb,20060101.0
26,URN:NBN:no-nb_digibok_2022012528002,100612630.0,"Biblia , Paa Danske : Det er Den gantske hellige scriftis Bøgger igen [ n ] em seete med flijd effter den Ebræiske oc Grækeske Text etc. det negste mueligt vaar Oc effter som de paa andre atskillige Tungemaal vaare best vdsatte","Resen , Hans Poulsen",oai:nb.bibsys.no:999920073900402202,ff1edddca6724c692e025dedeea379a4,,Prentede i Kiøbinghaffn,1607.0,1607.0,[utgiver ikke identifisert],dan,Kristendom,,tekst,Faglitteratur,digibok,nb,20060101.0
27,URN:NBN:no-nb_digibok_2008040104074,100615340.0,Det Nye Testamente,,oai:nb.bibsys.no:999201214384702202,92791a3f273f79510f59879256c21312,,Kristiania,19040101.0,1904.0,Det Norske Bibelselskabs Forl.,nob / grc,bibelen / nt,,,Uklassifisert,digibok,dhlab,20221201.0
28,URN:NBN:no-nb_digibok_2017051148061,100634178.0,Bibelens eller Den hellige Skrifts kanoniske Bøger,,oai:nb.bibsys.no:999513266604702202,4d4107538d3eabe8acdc6a5c7cb9e83e,,Christiania,18910101.0,1891.0,Bibelselskabet,nob,,,,Uklassifisert,digibok,dhlab,20221209.0
